Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-08 16:53:43,91,103,97.71,,Q
2026-01-08 16:54:43,93,97,94.59,,Q
2026-01-08 16:55:43,95,104,99.89,,Q
2026-01-08 16:56:43,96,109,102.32,,Q
2026-01-08 16:57:43,100,108,104.58,,Q
2026-01-08 16:58:43,105,113,108.41,,Q
2026-01-08 16:59:43,99,116,109.29,,Q
2026-01-08 17:00:43,105,117,113,,Q
2026-01-08 17:01:43,114,120,116.95,,Q
2026-01-08 17:02:43,120,125,122.07,,Q
2026-01-08 17:03:43,121,123,121.94,,Q
2026-01-08 17:04:43,119,125,122.06,,Q
2026-01-08 17:05:43,122,129,124.31,,Q
2026-01-08 17:06:43,125,138,129.8,,Q
2026-01-08 17:07:43,119,131,125.88,,Q
