Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-12 06:26:08,86,86,86,,Q
2026-01-12 06:26:13,87,87,87,,Q
2026-01-12 06:26:18,85,85,85,,Q
2026-01-12 06:26:24,85,85,85,,Q
2026-01-12 06:26:33,91,91,91,,Q
2026-01-12 06:26:38,92,92,92,,Q
2026-01-12 06:26:39,92,92,92,,Q
2026-01-12 06:26:48,87,87,87,,Q
2026-01-12 06:26:52,83,83,83,,Q
2026-01-12 06:26:58,79,79,79,,Q
2026-01-12 06:26:59,79,79,79,,Q
2026-01-12 06:27:08,73,73,73,,Q
2026-01-12 06:27:10,73,73,73,,Q
2026-01-12 06:27:15,73,73,73,,Q
2026-01-12 06:27:19,75,75,75,,Q
2026-01-12 06:27:27,71,71,71,,Q
2026-01-12 06:27:33,72,72,72,,Q
2026-01-12 06:27:37,71,71,71,,Q
2026-01-12 06:27:43,73,73,73,,Q
2026-01-12 06:27:44,73,73,73,,Q
2026-01-12 06:27:54,72,72,72,,Q
2026-01-12 06:27:55,72,72,72,,Q
2026-01-12 06:28:04,75,75,75,,Q
