Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-12 06:46:54,103,103,103,,Q
2026-01-12 06:47:01,96,96,96,,Q
2026-01-12 06:47:08,86,86,86,,Q
2026-01-12 06:47:09,86,86,86,,Q
2026-01-12 06:47:17,89,89,89,,Q
2026-01-12 06:47:22,88,88,88,,Q
2026-01-12 06:47:26,88,88,88,,Q
2026-01-12 06:47:31,87,87,87,,Q
2026-01-12 06:47:36,87,87,87,,Q
2026-01-12 06:47:40,90,90,90,,Q
2026-01-12 06:47:48,87,87,87,,Q
2026-01-12 06:47:50,88,88,88,,Q
2026-01-12 06:47:54,88,88,88,,Q
2026-01-12 06:48:02,88,88,88,,Q
2026-01-12 06:48:06,84,84,84,,Q
2026-01-12 06:48:13,84,84,84,,Q
2026-01-12 06:48:14,84,84,84,,Q
2026-01-12 06:48:22,84,84,84,,Q
2026-01-12 06:48:27,85,85,85,,Q
2026-01-12 06:48:29,85,85,85,,Q
2026-01-12 06:48:34,89,89,89,,Q
2026-01-12 06:48:39,95,95,95,,Q
2026-01-12 06:48:48,97,97,97,,Q
2026-01-12 06:48:49,97,97,97,,Q
