Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-13 06:22:49,101,101,101,,Q
2026-01-13 06:22:53,103,103,103,,Q
2026-01-13 06:23:02,102,102,102,,Q
2026-01-13 06:23:03,101,101,101,,Q
2026-01-13 06:23:09,99,99,99,,Q
2026-01-13 06:23:22,101,101,101,,Q
2026-01-13 06:23:27,101,101,101,,Q
2026-01-13 06:23:29,100,100,100,,Q
2026-01-13 06:23:33,99,99,99,,Q
2026-01-13 06:23:42,97,97,97,,Q
2026-01-13 06:23:45,98,98,98,,Q
2026-01-13 06:23:49,99,99,99,,Q
2026-01-13 06:23:56,101,101,101,,Q
2026-01-13 06:24:02,99,99,99,,Q
2026-01-13 06:24:07,99,99,99,,Q
2026-01-13 06:24:08,98,98,98,,Q
2026-01-13 06:24:13,97,97,97,,Q
2026-01-13 06:24:21,99,99,99,,Q
2026-01-13 06:24:23,100,100,100,,Q
2026-01-13 06:24:28,101,101,101,,Q
2026-01-13 06:24:33,101,101,101,,Q
2026-01-13 06:24:42,95,95,95,,Q
2026-01-13 06:24:47,93,93,93,,Q
