Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-11 10:36:09,72,78,75.44,,Q
2026-01-11 10:37:09,66,76,70.4,,Q
2026-01-11 10:38:09,67,70,68.99,,Q
2026-01-11 10:39:09,69,73,70.65,,Q
2026-01-11 10:40:09,70,74,71.95,,Q
2026-01-11 10:41:09,70,76,71.49,,Q
2026-01-11 10:42:09,69,79,73.24,,Q
2026-01-11 10:43:09,83,93,89.59,,Q
2026-01-11 10:44:09,82,91,86.29,,Q
2026-01-11 10:45:09,76,86,80.34,,Q
2026-01-11 10:46:09,93,111,102.12,,Q
2026-01-11 10:47:09,113,130,117.81,,Q
2026-01-11 10:48:09,80,110,96.43,,Q
2026-01-11 10:49:09,114,133,124.44,,Q
2026-01-11 10:50:09,93,123,106.66,,Q
2026-01-11 10:51:09,72,87,77.82,,Q
2026-01-11 10:52:09,71,87,77.62,,Q
2026-01-11 10:53:09,95,118,106.3,,Q
2026-01-11 10:54:09,80,93,85.59,,Q
2026-01-11 10:55:09,76,86,81.39,,Q
2026-01-11 10:56:09,88,100,94.22,,Q
2026-01-11 10:57:09,88,96,91.56,,Q
2026-01-11 10:58:09,76,84,82.08,,Q
2026-01-11 10:59:09,111,114,112.55,,Q
2026-01-11 11:00:09,75,121,95.67,,Q
2026-01-11 11:01:09,87,115,103.58,,Q
2026-01-11 11:02:09,86,118,100.95,,Q
2026-01-11 11:03:09,99,111,104.15,,Q
2026-01-11 11:04:09,84,105,94.58,,Q
2026-01-11 11:05:09,81,95,86.42,,Q
2026-01-11 11:06:09,80,99,88.58,,Q
2026-01-11 11:07:09,97,107,99.43,,Q
2026-01-11 11:08:09,92,100,95.18,,Q
2026-01-11 11:09:09,86,121,102.07,,Q
2026-01-11 11:10:09,95,120,105.4,,Q
2026-01-11 11:11:09,95,122,107.9,,Q
2026-01-11 11:12:09,94,117,105.65,,Q
2026-01-11 11:13:09,118,131,124.8,,Q
2026-01-11 11:14:09,111,137,119.77,,Q
