Date/Time,Resting Energy (kcal),Source
2026-01-13 06:26:16,1.99,Q
2026-01-13 06:27:16,1.73,Q
2026-01-13 06:28:16,1.49,Q
2026-01-13 06:29:16,1.82,Q
2026-01-13 06:30:16,1.29,Q
2026-01-13 06:31:16,1.52,Q
2026-01-13 06:32:16,1.97,Q
2026-01-13 06:33:16,1.9,Q
2026-01-13 06:34:16,1.89,Q
2026-01-13 06:35:16,1.48,Q
2026-01-13 06:36:16,1.79,Q
2026-01-13 06:37:16,1.62,Q
2026-01-13 06:38:16,1.79,Q
2026-01-13 06:39:16,1.68,Q
2026-01-13 06:40:16,1.82,Q
2026-01-13 06:41:16,2.05,Q
2026-01-13 06:42:16,1.62,Q
2026-01-13 06:43:16,1.65,Q
2026-01-13 06:44:16,1.85,Q
2026-01-13 06:45:16,1.97,Q
2026-01-13 06:46:16,2.06,Q
2026-01-13 06:47:16,2.01,Q
2026-01-13 06:48:16,1.76,Q
