Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-10 14:00:08,95,95,95,,Q
2026-01-10 14:00:13,95,95,95,,Q
2026-01-10 14:00:19,90,90,90,,Q
2026-01-10 14:00:20,89,89,89,,Q
2026-01-10 14:00:28,82,82,82,,Q
2026-01-10 14:00:31,81,81,81,,Q
2026-01-10 14:00:39,80,80,80,,Q
2026-01-10 14:00:44,85,85,85,,Q
2026-01-10 14:00:49,89,89,89,,Q
2026-01-10 14:00:51,90,90,90,,Q
2026-01-10 14:00:55,92,92,92,,Q
2026-01-10 14:01:02,93,93,93,,Q
2026-01-10 14:01:07,93,93,93,,Q
2026-01-10 14:01:10,94,94,94,,Q
2026-01-10 14:01:19,91,91,91,,Q
2026-01-10 14:01:22,91,91,91,,Q
2026-01-10 14:01:29,92,92,92,,Q
2026-01-10 14:01:31,92,92,92,,Q
2026-01-10 14:01:39,95,95,95,,Q
2026-01-10 14:01:43,94,94,94,,Q
2026-01-10 14:01:45,93,93,93,,Q
2026-01-10 14:01:52,87,87,87,,Q
2026-01-10 14:01:56,83,83,83,,Q
2026-01-10 14:02:00,83,83,83,,Q
