Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-10 16:46:13,106,106,106,,Q
2026-01-10 16:46:15,105,105,105,,Q
2026-01-10 16:46:19,105,105,105,,Q
2026-01-10 16:46:28,106,106,106,,Q
2026-01-10 16:46:31,106,106,106,,Q
2026-01-10 16:46:34,105,105,105,,Q
2026-01-10 16:46:39,104,104,104,,Q
2026-01-10 16:46:44,104,104,104,,Q
2026-01-10 16:46:53,105,105,105,,Q
2026-01-10 16:46:58,103,103,103,,Q
2026-01-10 16:47:00,103,103,103,,Q
2026-01-10 16:47:04,103,103,103,,Q
2026-01-10 16:47:13,105,105,105,,Q
2026-01-10 16:47:18,105,105,105,,Q
2026-01-10 16:47:20,104,104,104,,Q
2026-01-10 16:47:24,103,103,103,,Q
2026-01-10 16:47:31,103,103,103,,Q
2026-01-10 16:47:37,102,102,102,,Q
2026-01-10 16:47:39,103,103,103,,Q
2026-01-10 16:47:47,103,103,103,,Q
2026-01-10 16:47:49,102,102,102,,Q
2026-01-10 16:47:58,105,105,105,,Q
2026-01-10 16:48:01,105,105,105,,Q
2026-01-10 16:48:08,102,102,102,,Q
