Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-07 16:38:23,90,90,90,,Q
2026-01-07 16:38:32,92,92,92,,Q
2026-01-07 16:38:33,92,92,92,,Q
2026-01-07 16:38:39,96,96,96,,Q
2026-01-07 16:38:43,98,98,98,,Q
2026-01-07 16:38:49,103,103,103,,Q
2026-01-07 16:39:22,100,100,100,,Q
2026-01-07 16:39:25,101,101,101,,Q
2026-01-07 16:39:28,100,100,100,,Q
2026-01-07 16:39:36,98,98,98,,Q
2026-01-07 16:39:39,97,97,97,,Q
2026-01-07 16:39:43,96,96,96,,Q
2026-01-07 16:39:52,94,94,94,,Q
2026-01-07 16:39:55,94,94,94,,Q
2026-01-07 16:39:58,94,94,94,,Q
