Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-11 11:33:50,108,108,108,,Q
2026-01-11 11:33:55,113,113,113,,Q
2026-01-11 11:33:59,114,114,114,,Q
2026-01-11 11:34:01,115,115,115,,Q
2026-01-11 11:34:07,118,118,118,,Q
2026-01-11 11:34:12,113,113,113,,Q
2026-01-11 11:34:19,105,105,105,,Q
2026-01-11 11:34:21,105,105,105,,Q
2026-01-11 11:34:26,107,107,107,,Q
2026-01-11 11:34:33,109,109,109,,Q
2026-01-11 11:34:36,110,110,110,,Q
2026-01-11 11:34:45,104,104,104,,Q
2026-01-11 11:34:48,103,103,103,,Q
2026-01-11 11:34:56,102,102,102,,Q
2026-01-11 11:35:01,102,102,102,,Q
2026-01-11 11:35:06,101,101,101,,Q
2026-01-11 11:35:09,102,102,102,,Q
2026-01-11 11:35:12,103,103,103,,Q
2026-01-11 11:35:21,98,98,98,,Q
2026-01-11 11:35:26,97,97,97,,Q
