Date/Time,Active Energy (kcal),Source
2026-01-10 13:38:01,5.55,Q
2026-01-10 13:39:01,4.1,Q
2026-01-10 13:40:01,3.37,Q
2026-01-10 13:41:01,3.33,Q
2026-01-10 13:42:01,3.26,Q
2026-01-10 13:43:01,3.22,Q
2026-01-10 13:44:01,3.52,Q
2026-01-10 13:45:01,2.33,Q
2026-01-10 13:46:01,1.59,Q
2026-01-10 13:47:01,1.27,Q
2026-01-10 13:48:01,2.24,Q
2026-01-10 13:49:01,3.6,Q
2026-01-10 13:50:01,3.31,Q
2026-01-10 13:51:01,3.71,Q
2026-01-10 13:52:01,3.22,Q
2026-01-10 13:53:01,3.65,Q
2026-01-10 13:54:01,3.38,Q
2026-01-10 13:55:01,3.31,Q
2026-01-10 13:56:01,2.14,Q
2026-01-10 13:57:01,3.85,Q
2026-01-10 13:58:01,3.9,Q
2026-01-10 13:59:01,3.3,Q
2026-01-10 14:00:01,2.02,Q
