Date/Time,Step Count (count),Source
2026-01-12 05:51:08,37.94,Moneypenny
2026-01-12 05:52:08,79.06,Moneypenny
2026-01-12 06:03:08,19.59,Q|Moneypenny
2026-01-12 06:04:08,38.41,Q|Moneypenny
2026-01-12 06:05:08,38.41,Q|Moneypenny
2026-01-12 06:06:08,38.41,Q|Moneypenny
2026-01-12 06:07:08,38.41,Q|Moneypenny
2026-01-12 06:08:08,38.41,Q|Moneypenny
2026-01-12 06:09:08,38.41,Q|Moneypenny
2026-01-12 06:10:08,38.41,Q|Moneypenny
2026-01-12 06:11:08,38.41,Q|Moneypenny
2026-01-12 06:12:08,38.41,Q|Moneypenny
2026-01-12 06:13:08,25.87,Q|Moneypenny
2026-01-12 06:14:08,15.14,Q|Moneypenny
2026-01-12 06:15:08,15.14,Q|Moneypenny
2026-01-12 06:16:08,15.14,Q|Moneypenny
2026-01-12 06:17:08,15.14,Q|Moneypenny
2026-01-12 06:18:08,15.14,Q|Moneypenny
2026-01-12 06:19:08,15.14,Q|Moneypenny
2026-01-12 06:20:08,15.14,Q|Moneypenny
2026-01-12 06:21:08,15.14,Q|Moneypenny
2026-01-12 06:22:08,10.71,Q|Moneypenny
2026-01-12 06:23:08,22.1,Q|Moneypenny
2026-01-12 06:24:08,55.51,Q|Moneypenny
2026-01-12 06:25:08,55.51,Q|Moneypenny
