Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-10 16:24:29,86,97,91.88,,Q
2026-01-10 16:25:29,72,82,78.78,,Q
2026-01-10 16:26:29,75,81,79.58,,Q
2026-01-10 16:27:29,77,85,80.8,,Q
2026-01-10 16:28:29,87,93,89.06,,Q
2026-01-10 16:29:29,77,87,81.56,,Q
2026-01-10 16:30:29,82,106,90.26,,Q
2026-01-10 16:31:29,94,122,107.32,,Q
2026-01-10 16:32:29,94,102,97.78,,Q
2026-01-10 16:33:29,96,104,100.42,,Q
2026-01-10 16:34:29,100,105,102.38,,Q
2026-01-10 16:35:29,97,107,101.92,,Q
