Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-11 13:02:50,85,95,90.12,,Q
2026-01-11 13:03:50,93,96,94.34,,Q
2026-01-11 13:04:50,91,96,93.58,,Q
2026-01-11 13:05:50,83,90,87,,Q
2026-01-11 13:06:50,86,89,87.74,,Q
2026-01-11 13:07:50,89,91,89.51,,Q
2026-01-11 13:08:50,89,101,93.81,,Q
2026-01-11 13:09:50,93,102,97.69,,Q
2026-01-11 13:10:50,91,97,93.83,,Q
2026-01-11 13:11:50,89,95,90.74,,Q
2026-01-11 13:12:50,81,87,84.14,,Q
2026-01-11 13:13:50,77,83,80.3,,Q
2026-01-11 13:14:50,77,84,79.87,,Q
2026-01-11 13:15:50,77,81,79.31,,Q
2026-01-11 13:16:50,79,86,82.83,,Q
2026-01-11 13:17:50,77,88,81.97,,Q
2026-01-11 13:18:50,77,96,82.32,,Q
2026-01-11 13:19:50,83,95,88.74,,Q
2026-01-11 13:20:50,79,87,82.5,,Q
2026-01-11 13:21:50,75,82,78.23,,Q
2026-01-11 13:22:50,75,81,77.96,,Q
2026-01-11 13:23:50,77,93,82.43,,Q
2026-01-11 13:24:50,74,80,77.44,,Q|Moneypenny
2026-01-11 13:25:50,78,86,79.84,,Q|Moneypenny
2026-01-11 13:26:50,75,81,78,,Q|Moneypenny
2026-01-11 13:27:50,71,71,71,,Q|Moneypenny
2026-01-11 13:29:50,76,76,76,,Q|Moneypenny
2026-01-11 13:35:50,78,78,78,,Q|Moneypenny
2026-01-11 13:36:50,93,99,96.02,,Q|Moneypenny
2026-01-11 13:37:50,86,94,89.35,,Q|Moneypenny
2026-01-11 13:38:50,90,92,91.09,,Q|Moneypenny
2026-01-11 13:39:50,93,97,94.99,,Q|Moneypenny
2026-01-11 13:40:50,93,99,96.09,,Q|Moneypenny
2026-01-11 13:41:50,94,99,95.89,,Q|Moneypenny
2026-01-11 13:42:50,93,96,94.48,,Q|Moneypenny
2026-01-11 13:43:50,89,93,90.99,,Q|Moneypenny
2026-01-11 13:44:50,91,101,94.84,,Q|Moneypenny
2026-01-11 13:46:50,100,100,100,,Q|Moneypenny
2026-01-11 13:47:50,91,101,94.88,,Q|Moneypenny
2026-01-11 13:48:50,81,92,87.29,,Q|Moneypenny
2026-01-11 13:49:50,78,88,80.97,,Q|Moneypenny
2026-01-11 13:50:50,78,85,80.71,,Q|Moneypenny
2026-01-11 13:51:50,78,86,81.99,,Q|Moneypenny
