Timestamp,Latitude,Longitude,Altitude (m),Vertical Accuracy (m),Horizontal Accuracy (m),Speed (m/s),Course
2026-01-10T21:38:01Z,34.1687325544462,-118.38829717857202,201.49592593032867,1.6418808355817156,2.904070053890607,0.0013856164149094884,208.28342147064438
2026-01-10T21:38:02Z,34.168733642048224,-118.38829554886681,200.9054077481851,1.3770345870208736,2.598338337988929,0.0009870126182675932,17.828300143180513
2026-01-10T21:38:03Z,34.1687346183368,-118.388293797496,200.3865975132212,1.174475765589837,2.391268999324326,0.006198874442442999,31.888543755990383
2026-01-10T21:38:04Z,34.1687354242939,-118.38829240723865,199.94976978376508,1.0192627890133397,2.201947942251139,0.01854806437214284,40.79106261129135
2026-01-10T21:38:05Z,34.168736193836736,-118.38829112222048,199.6097447667271,0.904480611020429,2.041172595141238,0.038822265729755744,56.868348284195235
2026-01-10T21:38:06Z,34.16873706152903,-118.38828912016942,199.35460881516337,0.8205180883434186,1.9033953053148527,0.1282247333201826,72.76775463550615
2026-01-10T21:38:07Z,34.1687382143444,-118.38828427690072,199.17482358310372,0.7633855164380214,1.8130163330201097,0.5657170335159633,80.18883215563727
2026-01-10T21:38:08Z,34.16873930916099,-118.38827525387026,199.05708711780608,0.7282265170575146,1.7367877412850445,0.9192972190042406,85.35957635707155
2026-01-10T21:38:09Z,34.16874018172999,-118.38826379798498,198.9868241418153,0.7086214794363012,1.6695697764661244,1.002103867967445,84.95198663396832
2026-01-10T21:38:10Z,34.16874164115105,-118.38825241947524,198.94994153641164,0.6986510052733503,1.614861393445628,0.9722139283754012,76.26332618528613
2026-01-10T21:38:11Z,34.16874382835349,-118.38824135092725,198.9341428996995,0.693998948305923,1.5717022952296524,0.9864470134892972,75.23443897268214
2026-01-10T21:38:12Z,34.16874603969758,-118.38823068924972,198.92945465259254,0.6919925472280648,1.5394745670209296,0.9242628453037911,74.72909198171732
2026-01-10T21:38:13Z,34.16874834431649,-118.3882205312468,198.9283186485991,0.6911747641446379,1.5094094596135215,0.9184378272759477,71.95520849473758
2026-01-10T21:38:14Z,34.16875080399589,-118.38821070806286,198.9255432523787,0.6908405632211645,1.4865158632448914,0.9045256335950442,70.14826064004467
2026-01-10T21:38:15Z,34.16875376585953,-118.38820215918295,198.91783918626606,0.6906867317470852,1.4758626674718105,0.7804472017785613,57.11290831957854
2026-01-10T21:38:16Z,34.16875730920505,-118.38819462071507,198.90348929353058,0.6905957177273359,1.4646960474090005,0.7845963597137804,56.507111547871204
2026-01-10T21:38:17Z,34.1687611441406,-118.38818714791375,198.88217366393656,0.6905298024412337,1.4612640794641896,0.8121140725980319,51.49474949576461
2026-01-10T21:38:18Z,34.16876571163445,-118.38817877475917,198.85472067352384,0.6904797448623404,1.4549999910851594,1.000023546053827,51.89171645431918
2026-01-10T21:38:19Z,34.16877028653929,-118.38817012203117,198.82229839265347,0.6904423898076301,1.4799751812057937,0.8469254355242707,52.08897272621135
2026-01-10T21:38:20Z,34.16877435039378,-118.38816210489088,198.78638698905706,0.6904156449886379,1.4909404685278478,0.8423413984860408,52.56313206903491
2026-01-10T21:38:21Z,34.16877822527631,-118.38815401340987,198.74848558288068,0.6903969081799561,1.5084018112664925,0.8433899922420731,54.342663687392815
2026-01-10T21:38:22Z,34.16878183561599,-118.38814589018324,198.71006908640265,0.6903837592737943,1.5342196216598896,0.8279585171458892,55.39125153184568
2026-01-10T21:38:23Z,34.16878521315514,-118.38813801952594,198.67268979549408,0.6903743179773335,1.5615255036397382,0.7877798794632564,55.02941737288023
2026-01-10T21:38:24Z,34.168783156246484,-118.3881225281257,198.6378822689876,0.6903670737003326,1.5399780092597928,0.8122428046162679,65.32258054504109
2026-01-10T21:38:25Z,34.168782481611025,-118.38811018193556,198.60737329907715,0.6903611105146501,1.534899141548771,0.782147207404024,70.93742924360129
2026-01-10T21:38:26Z,34.16878284906033,-118.38809963306024,198.5828013587743,0.6903559503949425,1.533323644737617,0.8491077593829265,76.18277371871312
2026-01-10T21:38:27Z,34.1687840547344,-118.38808961663212,198.56541773490608,0.6903513180189629,1.5479558992991647,0.8575612345019756,77.31895242713665
2026-01-10T21:38:28Z,34.168784305307405,-118.38807875042137,198.5554691804573,0.6903470225477727,1.5574950119844877,1.0822781369951033,95.66692182807509
2026-01-10T21:38:29Z,34.168783076809,-118.38806594798392,198.55280989129096,0.6903430017861836,1.5666587442380229,1.2482994429781993,97.20112668285077
2026-01-10T21:38:30Z,34.16878129018212,-118.38805232806506,198.55668815318495,0.690339255733047,1.5781863783275778,1.2981897417218538,100.22040453295432
2026-01-10T21:38:31Z,34.16877877749313,-118.38803815317884,198.56584922689945,0.6903357672099016,1.5836764431176458,1.39260339334859,103.52225614702854
2026-01-10T21:38:32Z,34.16877584036319,-118.38802347042372,198.57866838667542,0.6903324897207199,1.595587077190286,1.3846576219694402,103.58365369310849
2026-01-10T21:38:33Z,34.16877239434705,-118.38800838029671,198.5935327913612,0.6903293834749294,1.5840853692603418,1.501034423448567,107.040856687033
2026-01-10T21:38:34Z,34.16876591791816,-118.38798969388826,198.60845147818327,0.6903264984265185,1.4853058793386777,2.241840686800673,116.4032150486425
2026-01-10T21:38:35Z,34.16875717767688,-118.38796792649387,198.6213627597317,0.6903238172899622,1.4284083005866268,2.2075483801303184,115.25078619375716
2026-01-10T21:38:36Z,34.16874986804484,-118.38794665238048,198.63066647108644,0.6903212823986539,1.4133773348642187,2.0176853855756547,109.6419347889173
