Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-13 06:48:19,118,118,118,,Q
2026-01-13 06:48:22,119,119,119,,Q
2026-01-13 06:48:31,117,117,117,,Q
2026-01-13 06:48:34,115,115,115,,Q
2026-01-13 06:48:38,106,106,106,,Q
2026-01-13 06:48:46,105,105,105,,Q
2026-01-13 06:48:51,104,104,104,,Q
2026-01-13 06:48:54,101,101,101,,Q
2026-01-13 06:48:57,103,103,103,,Q
2026-01-13 06:49:05,104,104,104,,Q
2026-01-13 06:49:07,104,104,104,,Q
2026-01-13 06:49:16,106,106,106,,Q
2026-01-13 06:49:21,107,107,107,,Q
2026-01-13 06:49:22,107,107,107,,Q
2026-01-13 06:49:30,109,109,109,,Q
2026-01-13 06:49:32,110,110,110,,Q
2026-01-13 06:49:41,110,110,110,,Q
2026-01-13 06:49:42,109,109,109,,Q
2026-01-13 06:49:49,110,110,110,,Q
2026-01-13 06:49:53,109,109,109,,Q
2026-01-13 06:50:01,110,110,110,,Q
2026-01-13 06:50:04,110,110,110,,Q
2026-01-13 06:50:07,110,110,110,,Q
2026-01-13 06:50:12,109,109,109,,Q
