Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-09 06:32:32,81,84,81.98,,Q
2026-01-09 06:33:32,78,96,85.92,,Q
2026-01-09 06:34:32,78,89,84.37,,Q
2026-01-09 06:35:32,76,87,80.31,,Q
2026-01-09 06:36:32,82,89,84.3,,Q
2026-01-09 06:37:32,79,91,83.94,,Q
2026-01-09 06:38:32,80,97,88.77,,Q
2026-01-09 06:39:32,83,94,89.87,,Q
2026-01-09 06:40:32,89,102,94.65,,Q
2026-01-09 06:41:32,82,99,89.74,,Q
2026-01-09 06:42:32,89,102,94.87,,Q
2026-01-09 06:43:32,100,111,105.44,,Q
2026-01-09 06:44:32,97,107,101.97,,Q
2026-01-09 06:45:32,96,104,100.04,,Q
2026-01-09 06:46:32,98,113,103.13,,Q
2026-01-09 06:47:32,99,104,100.21,,Q
