Date/Time,Active Energy (kcal),Source
2026-01-12 06:26:19,5.39,Q
2026-01-12 06:27:19,5.67,Q
2026-01-12 06:28:19,5.25,Q
2026-01-12 06:29:19,5.12,Q
2026-01-12 06:30:19,5.58,Q
2026-01-12 06:31:19,5.48,Q
2026-01-12 06:32:19,5.31,Q
2026-01-12 06:33:19,5.49,Q
2026-01-12 06:34:19,5.47,Q
2026-01-12 06:35:19,5.12,Q
2026-01-12 06:36:19,5.92,Q
2026-01-12 06:37:19,5.15,Q
2026-01-12 06:38:19,5.11,Q
2026-01-12 06:39:19,5.25,Q
2026-01-12 06:40:19,5.11,Q
2026-01-12 06:41:19,5.15,Q
2026-01-12 06:42:19,5.28,Q
2026-01-12 06:43:19,8.93,Q
2026-01-12 06:44:19,9.36,Q
2026-01-12 06:45:19,5.45,Q
2026-01-12 06:46:19,2.94,Q
