Date/Time,Step Count (count),Source
2026-01-10 16:52:27,79.35,Moneypenny
2026-01-10 16:53:27,103.18,Moneypenny
2026-01-10 16:54:27,103.18,Moneypenny
2026-01-10 16:55:27,29.79,Q|Moneypenny
2026-01-10 16:56:27,102.04,Q|Moneypenny
2026-01-10 16:57:27,102.04,Q|Moneypenny
2026-01-10 16:58:27,102.04,Q|Moneypenny
2026-01-10 16:59:27,102.04,Q|Moneypenny
2026-01-10 17:00:27,102.04,Q|Moneypenny
2026-01-10 17:01:27,102.04,Q|Moneypenny
2026-01-10 17:02:27,102.04,Q|Moneypenny
2026-01-10 17:03:27,102.04,Q|Moneypenny
