Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-10 16:49:27,100,105,101.81,,Q
2026-01-10 16:50:27,100,102,101.6,,Q
2026-01-10 16:51:27,98,100,98.73,,Q
2026-01-10 16:52:27,97,101,98.17,,Q
2026-01-10 16:53:27,97,100,98.54,,Q
2026-01-10 16:54:27,97,100,98.43,,Q
2026-01-10 16:55:27,98,101,99.2,,Q
2026-01-10 16:56:27,98,99,98.34,,Q
2026-01-10 16:57:27,97,99,98.07,,Q
2026-01-10 16:58:27,97,100,98.95,,Q
2026-01-10 16:59:27,97,102,99.68,,Q
2026-01-10 17:00:27,97,100,98.65,,Q
2026-01-10 17:01:27,98,101,99.92,,Q
2026-01-10 17:02:27,98,102,100.04,,Q
2026-01-10 17:03:27,97,99,98.35,,Q
